Player,Matches,Overs,Runs,Wickets,BBI,Average,Economy,SR,4W,5W
Arshdeep Singh,14,50.5,493,17,29/4,29,9.69,17.94,1,0
Nathan Ellis,10,38,339,13,30/4,26.07,8.92,17.53,1,0
Sam Curran,14,47.5,489,10,31/3,48.9,10.22,28.7,0,0
Harpreet Brar,13,27.1,218,9,30/4,24.22,8.02,18.11,1,0
Rahul Chahar,14,49.4,385,8,16/2,48.12,7.75,37.25,0,0
Kagiso Rabada,6,23,232,7,34/2,33.14,10.08,19.71,0,0
Sikandar Raza,7,12,119,3,19/1,39.66,9.91,24,0,0
Liam Livingston,9,7,94,2,19/1,47,13.42,21,0,0
Rishi Dhawan,6,7,60,1,20/1,60,8.57,42,0,0
