Player,Matches,Overs,Runs,Wickets,BBI,Average,Economy,SR,4W,5W
Yuzvendra Chahal,14,52.5,432,21,17/4,20.57,8.17,15.09,3,0
Ravichandran Ashwin,13,49,368,14,23/2,26.28,7.51,21,0,0
Trent Boult,10,38,312,13,29/3,24,8.21,17.53,0,0
Sandeep Sharma,12,46,396,10,25/2,39.6,8.6,27.6,0,0
Adam Zampa,6,22,188,8,22/3,23.5,8.54,16.5,0,0
Jason Holder,8,28.3,284,4,29/2,71,9.96,42.75,0,0
Asif K M,4,14,138,3,42/2,46,9.85,28,0,0
