Player,Matches,Overs,Runs,Wickets,BBI,Average,Economy,SR,4W,5W
Mohammed Shami,16,62,493,28,11/4,17.6,7.95,13.28,2,0
Rashid Khan,16,64,508,27,30/4,18.81,7.93,14.22,1,0
Mohit Sharma,13,41.1,325,24,10/5,13.54,7.89,10.29,2,1
Noor Ahmad,12,44.1,352,14,37/3,25.14,7.96,18.92,0,0
Josh Little,9,32,264,7,25/2,37.71,8.25,27.42,0,0
Alzarri Joseph,7,24,225,7,27/2,32.14,9.37,20.57,0,0
Hardik Pandya,15,24,214,3,10/1,71.33,8.91,48,0,0
Yash Dayal,5,14,165,2,31/1,82.5,11.78,42,0,0
Darshan Nalkande,1,4,44,1,44/1,44,11,24,0,0
