Player,Matches,Overs,Runs,Wickets,BBI,Average,Economy,SR,4W,5W
Bhuvneshwar Kumar,14,51,425,16,30/5,26.56,8.33,19.12,0,1
Mayank Markande,10,38,300,12,15/4,25,7.89,19,1,0
T Natarajan,12,45,410,10,23/2,41,9.11,27,0,0
Marco Jansen,8,27,267,10,16/2,26.7,9.88,16.2,0,0
Umran Malik,8,20,217,5,32/2,43.4,10.85,24,0,0
Fazalhaq Farooqi,4,13.2,117,4,41/2,29.25,8.77,20,0,0
Washington Sundar,7,17.4,146,3,28/3,48.66,8.26,35.33,0,0
Abhishek Sharma,11,12,124,2,26/1,62,10.33,36,0,0
Mayank Dagar,3,11,83,1,37/1,83,7.54,66,0,0
