Player,Matches,Overs,Runs,Wickets,BBI,Average,Economy,SR,4W,5W
Mohammed Siraj,14,50,376,19,21/4,19.78,7.52,15.78,1,0
Harshal Patel,13,47,454,14,32/3,32.42,9.65,20.14,0,0
Karn Sharma,7,21.3,223,10,19/2,22.3,10.37,12.9,0,0
Wanindu Hasaranga,8,29,258,9,24/2,28.66,8.89,19.33,0,0
Wayne Parnell,7,25.1,236,9,10/3,26.22,9.37,16.77,0,0
Vyshak Vijaykumar,7,24,253,9,20/3,28.11,10.54,16,0,0
Michael Bracewell,5,11,95,6,13/2,15.83,8.63,11,0,0
Glenn Maxwell,14,10.2,94,3,3/1,31.33,9.09,20.66,0,0
Shahbaz Ahmed,10,7,95,1,38/1,95,13.57,42,0,0
